Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,State,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit,Ship_Mode,Customer_Age,Customer_Gender
ORD-01818,2023-01-01,CUST-0398,Neha Iyer,Corporate,Central,Uttar Pradesh,Office Supplies,Art,10,51.16,0.0,511.64,117.18,Standard Class,37,Male
ORD-01578,2023-01-01,CUST-0338,Saanvi Patel,Corporate,South,Tamil Nadu,Office Supplies,Binders,1,98.9,0.2,79.12,32.88,Standard Class,24,Male
ORD-01079,2023-01-02,CUST-0016,Sanjay Malhotra,Consumer,Central,Chhattisgarh,Office Supplies,Storage,7,90.56,0.1,570.55,93.31,Standard Class,34,Female
ORD-00915,2023-01-02,CUST-0215,Kabir Patel,Consumer,Central,Uttar Pradesh,Furniture,Tables,11,410.98,0.1,4068.73,282.01,Standard Class,52,Male
ORD-02318,2023-01-02,CUST-0130,Saanvi Sharma,Home Office,South,Tamil Nadu,Technology,Phones,6,430.91,0.1,2326.94,311.84,Second Class,41,Female
ORD-00014,2023-01-02,CUST-0312,Tara Malhotra,Consumer,East,Bihar,Technology,Copiers,4,922.12,0.1,3319.64,448.36,Second Class,29,Male
ORD-00678,2023-01-03,CUST-0186,Myra Malhotra,Corporate,Central,Uttar Pradesh,Furniture,Furnishings,2,799.63,0.2,1279.41,23.39,Standard Class,25,Female
ORD-00044,2023-01-03,CUST-0076,Ishaan Bose,Corporate,North,Delhi,Technology,Copiers,2,1477.05,0.0,2954.11,540.81,Standard Class,47,Male
ORD-02782,2023-01-03,CUST-0291,Riya Sharma,Corporate,West,Rajasthan,Furniture,Furnishings,6,490.59,0.2,2354.83,48.44,Standard Class,25,Female
ORD-02190,2023-01-03,CUST-0004,Ananya Mehta,Consumer,South,Kerala,Office Supplies,Paper,1,88.2,0.2,70.56,14.18,First Class,58,Male
ORD-00662,2023-01-04,CUST-0268,Neha Joshi,Consumer,Central,Uttar Pradesh,Technology,Copiers,5,1054.64,0.0,5273.2,959.49,Standard Class,61,Female
ORD-01625,2023-01-04,CUST-0094,Diya Kapoor,Home Office,West,Gujarat,Technology,Machines,6,882.72,0.1,4766.66,630.47,Standard Class,49,Female
ORD-00862,2023-01-05,CUST-0047,Aarav Rao,Consumer,Central,Chhattisgarh,Technology,Accessories,6,430.06,0.2,2064.29,149.63,Standard Class,43,Male
ORD-01098,2023-01-05,CUST-0074,Ananya Sharma,Consumer,North,Haryana,Technology,Accessories,8,1326.54,0.4,6367.39,-116.57,Standard Class,24,Female
ORD-01575,2023-01-05,CUST-0353,Saanvi Sharma,Corporate,South,Kerala,Office Supplies,Storage,7,12.29,0.4,51.62,3.75,Standard Class,37,Male
ORD-00445,2023-01-06,CUST-0253,Aarav Singh,Consumer,South,Kerala,Technology,Phones,7,305.0,0.2,1708.01,125.6,Second Class,30,Male
ORD-01585,2023-01-06,CUST-0046,Amit Chopra,Home Office,North,Punjab,Technology,Accessories,4,143.75,0.15,488.74,57.82,Standard Class,39,Male
ORD-01602,2023-01-06,CUST-0156,Tara Verma,Corporate,South,Karnataka,Office Supplies,Art,9,82.61,0.0,743.49,179.69,Standard Class,53,Male
ORD-00874,2023-01-06,CUST-0383,Aarav Verma,Consumer,West,Gujarat,Technology,Copiers,9,104.36,0.2,751.36,53.37,Standard Class,59,Male
ORD-01726,2023-01-07,CUST-0026,Vivaan Iyer,Consumer,North,Delhi,Furniture,Tables,5,295.43,0.0,1477.16,175.92,Standard Class,53,Male
ORD-01001,2023-01-07,CUST-0034,Priya Nair,Consumer,Central,Chhattisgarh,Office Supplies,Storage,11,137.49,0.0,1512.41,378.15,Same Day,43,Female
ORD-02362,2023-01-07,CUST-0159,Aarav Iyer,Corporate,South,Kerala,Furniture,Furnishings,11,73.75,0.0,811.24,109.55,Standard Class,56,Male
ORD-02035,2023-01-07,CUST-0114,Priya Patel,Corporate,West,Maharashtra,Technology,Phones,5,237.61,0.0,1188.04,210.84,First Class,26,Male
ORD-00784,2023-01-08,CUST-0382,Riya Chopra,Corporate,Central,Uttar Pradesh,Office Supplies,Binders,2,76.57,0.0,153.14,46.5,Second Class,20,Female
ORD-01864,2023-01-08,CUST-0180,Saanvi Reddy,Consumer,Central,Uttar Pradesh,Furniture,Chairs,11,755.62,0.1,7480.67,525.1,First Class,21,Female
ORD-00574,2023-01-08,CUST-0266,Myra Kapoor,Corporate,North,Haryana,Office Supplies,Paper,3,52.2,0.15,133.1,11.77,First Class,44,Female
ORD-02992,2023-01-08,CUST-0179,Priya Gupta,Consumer,South,Tamil Nadu,Technology,Machines,4,699.13,0.2,2237.22,176.93,First Class,25,Female
ORD-02127,2023-01-09,CUST-0208,Riya Iyer,Corporate,West,Gujarat,Technology,Phones,8,933.94,0.1,6724.38,871.27,Standard Class,57,Female
ORD-02312,2023-01-10,CUST-0370,Neha Bose,Corporate,Central,Madhya Pradesh,Office Supplies,Binders,11,84.2,0.0,926.25,242.37,Standard Class,33,Male
ORD-00592,2023-01-10,CUST-0016,Sanjay Malhotra,Consumer,Central,Chhattisgarh,Furniture,Tables,9,283.23,0.2,2039.25,40.73,Standard Class,34,Female
ORD-01720,2023-01-10,CUST-0382,Riya Chopra,Corporate,Central,Chhattisgarh,Technology,Copiers,11,1125.74,0.0,12383.19,2234.04,First Class,20,Female
ORD-02329,2023-01-11,CUST-0081,Ananya Kapoor,Home Office,East,Bihar,Furniture,Furnishings,7,524.12,0.2,2935.09,52.26,Second Class,20,Male
